cms_certification_number_ccn,facility_name,address_line_1,address_line_2,city,state,zip_code,county_name,phone_number,cms_region,condition,count,footnote
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,All other conditions,52,
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Brain disease or condition (non-traumatic),Less than 11,1
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Brain injury (traumatic),20,
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Hip or femur fracture,55,
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,"Hip or knee replacement, amputation or other bone or joint condition",37,
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Nervous system disorder (excluding stroke),14,
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Spinal cord disease or condition (non-traumatic),Not Available,2
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Spinal cord injury (traumatic),Less than 11,1
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Stroke,33,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,All other conditions,109,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Brain disease or condition (non-traumatic),66,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Brain injury (traumatic),35,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Hip or femur fracture,99,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,"Hip or knee replacement, amputation or other bone or joint condition",66,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Nervous system disorder (excluding stroke),59,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Spinal cord disease or condition (non-traumatic),35,
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Spinal cord injury (traumatic),Less than 11,1
33T181,GLEN COVE HOSPITAL,101 ST. ANDREWS LANE,,GLEN COVE,NY,11542,Nassau,(516) 458-9330,2,Stroke,198,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,All other conditions,44,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Brain disease or condition (non-traumatic),17,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Brain injury (traumatic),Less than 11,1
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Hip or femur fracture,69,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,"Hip or knee replacement, amputation or other bone or joint condition",64,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Nervous system disorder (excluding stroke),66,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Spinal cord disease or condition (non-traumatic),13,
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Spinal cord injury (traumatic),Less than 11,1
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Stroke,131,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,All other conditions,67,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Brain disease or condition (non-traumatic),36,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Brain injury (traumatic),15,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Hip or femur fracture,67,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,"Hip or knee replacement, amputation or other bone or joint condition",100,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Nervous system disorder (excluding stroke),Less than 11,1
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Spinal cord disease or condition (non-traumatic),14,
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Spinal cord injury (traumatic),Less than 11,1
33T246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,,PORT JEFFERSON,NY,11777,Suffolk,(631) 474-6826,2,Stroke,199,
