cms_certification_number_ccn,facility_name,address_line_1,address_line_2,city,state,zip_code,county_name,phone_number,cms_region,measure_code,score,footnote,start_date,end_date
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_CI_LOWER,Not Available,7,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_CI_UPPER,Not Available,7,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_COMP_PERF,Not Available,7,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_DOPC_DAYS,198,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_ELIGCASES,0.330,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_NUMERATOR,2,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_006_01_SIR,Not Available,7,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_008_02_DENOMINATOR,215,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_008_02_NUMERATOR,214,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_008_02_OBS_RATE,99.5,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_009_04_ADJ_CHG_SFCR_SCORE,7.5,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_009_04_DENOMINATOR,172,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_009_04_OBS_CHG_SFCR_SCORE,9.3,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_010_04_ADJ_CHG_MOBL_SCORE,24.7,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_010_04_DENOMINATOR,172,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_010_04_OBS_CHG_MOBL_SCORE,28.0,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_011_04_DENOMINATOR,172,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_011_04_NUMERATOR,41,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_011_04_OBS_RATE,23.8,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_012_04_DENOMINATOR,172,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_012_04_NUMERATOR,67,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_012_04_OBS_RATE,39.0,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_013_01_DENOMINATOR,215,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_013_01_NUMERATOR,0,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_013_01_OBS_RATE,0.0,,07/01/2020,03/31/2021
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_CI_LOWER,0.032,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_CI_UPPER,3.116,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_COMP_PERF,No Different than the National Benchmark,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_DOPC_DAYS,5293,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_ELIGCASES,1.583,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_NUMERATOR,1,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_015_01_SIR,0.632,,01/01/2019,12/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_016_01_DENOMINATOR,106,,10/01/2018,03/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_016_01_NUMERATOR,97,,10/01/2018,03/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_016_01_OBS_RATE,91.5,,10/01/2018,03/31/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_017_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2017,09/30/2019
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,I_017_01_PPR_PD_OBS,6.84,,10/01/2017,09/30/2019
